C,time,w,Z,J,J_up,J_down
182.471989372745,2020-06-20T07:00:30.176Z,-0.0419364515053883,downdraft,1,"(-1.78,119]","(-1.57,119]"
187.267969164415,2020-06-20T07:00:30.376Z,-0.311936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
200.402981137784,2020-06-20T07:00:30.579Z,-0.301936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
182.764978848965,2020-06-20T07:00:30.777Z,-0.361936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
178.755981638464,2020-06-20T07:00:31.004Z,-0.561936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
175.228979676274,2020-06-20T07:00:31.177Z,-0.991936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
193.984979590445,2020-06-20T07:00:31.381Z,-0.251936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
201.387978395969,2020-06-20T07:00:31.576Z,0.108063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
200.97097269776,2020-06-20T07:00:31.775Z,0.0180635484946117,updraft,1,"(-1.78,119]","(-1.57,119]"
175.503980351003,2020-06-20T07:00:31.976Z,-0.251936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
175.629975072419,2020-06-20T07:00:32.174Z,-0.361936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
160.187978176624,2020-06-20T07:00:32.374Z,-0.411936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
160.820982472929,2020-06-20T07:00:32.575Z,-0.251936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
145.120961015236,2020-06-20T07:00:32.775Z,-0.221936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
133.670991056008,2020-06-20T07:00:32.975Z,0.0180635484946117,updraft,1,"(-1.78,119]","(-1.57,119]"
169.855976011786,2020-06-20T07:00:33.190Z,-0.131936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
166.895983545803,2020-06-20T07:00:33.380Z,-0.371936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
164.933988934081,2020-06-20T07:00:33.578Z,0.958063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
162.023979635745,2020-06-20T07:00:33.777Z,-1.01193645150539,downdraft,1,"(-1.78,119]","(-1.57,119]"
161.119981113943,2020-06-20T07:00:33.976Z,-0.271936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
165.003975801979,2020-06-20T07:00:34.177Z,0.618063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
