time,RH,wind_speed,wind_dir,H,LE,air_temperature
2020-06-23T06:00:00Z,93.96195,0.3434315,172.131,36.07965,78.4244,284.076
2020-06-23T07:00:00Z,86.82155,0.3711925,199.4535,89.81385,96.62385,286.5605
2020-06-23T08:00:00Z,71.99305,1.67545,220.1955,103.42115,148.419,289.626
2020-06-23T09:00:00Z,62.64845,2.204355,222.074,158.834,215.985,292.0795
2020-06-23T10:00:00Z,52.8515,2.58281,239.6655,161.797,245.9845,293.192
2020-06-23T11:00:00Z,48.79465,2.047695,231.9335,149.6775,298.1515,294.1485
2020-06-23T12:00:00Z,42.52165,2.44334,241.7615,145.6525,308.5855,295.0335
2020-06-23T13:00:00Z,41.39155,2.33763,246.411,133.5915,290.4265,295.891
2020-06-23T14:00:00Z,37.97545,2.153635,226.914,140.143,263.915,296.8235
2020-06-23T15:00:00Z,35.28345,2.714015,242.325,71.9117,200.583,297.3685
2020-06-23T16:00:00Z,33.15665,2.61178,254.384,39.16575,165.628,298.227
2020-06-23T17:00:00Z,32.2877,2.62399,280.147,7.638635,131.74455,298.2735
2020-06-23T18:00:00Z,32.02745,3.093125,302.8705,-11.92982,80.9205,298.32
2020-06-23T19:00:00Z,31.93625,2.083985,307.535,-23.364,28.605,297.9935
2020-06-23T20:00:00Z,37.27685,0.582155,217.034,-7.61641,7.849625,296.8915
2020-06-23T21:00:00Z,40.69885,0.3371985,132.8645,-1.18545,2.18069,295.395
2020-06-23T22:00:00Z,51.58805,1.181002,351.785,-8.379287,4.932455,292.279
2020-06-23T23:00:00Z,65.54685,1.657585,341.0405,-0.2612315,0.15539065,289.2635
2020-06-24T00:00:00Z,64.5281,0.29369075,207.43645,-7.334745,3.16744,288.6865
2020-06-24T01:00:00Z,65.0734,0.2710295,194.4833,-7.379925,1.7610785,288.3745
2020-06-24T02:00:00Z,73.70515,0.623317,141.0617,-1.741105,0.6120385,286.4925
2020-06-24T03:00:00Z,78.92975,0.14251785,85.6116,0.978495,-1.18222,285.1345
2020-06-24T04:00:00Z,83.88375,0.283664,219.305,-2.026375,3.10771,284.328
2020-06-24T05:00:00Z,88.32455,0.9716195,325.1385,8.235235,61.0101,283.4305
2020-06-24T06:00:00Z,88.35445,1.831515,345.9145,41.37965,74.45305,283.989
2020-06-24T07:00:00Z,72.3102,1.49587,352.3775,82.2776,116.34155,288.4265
2020-06-24T08:00:00Z,58.6238,1.74613,343.801,116.2436,155.101,291.1085
2020-06-24T09:00:00Z,54.44925,1.87644,173.283,185.956,188.3675,293.1405
2020-06-24T10:00:00Z,48.10735,2.129075,338.9415,191.305,229.759,294.786
2020-06-24T11:00:00Z,44.502,2.625475,344.2005,179.3895,177.056,296.039
2020-06-24T12:00:00Z,45.13845,2.68807,346.6185,204.127,206.008,296.4305
2020-06-24T13:00:00Z,43.61695,3.09477,347.342,180.5845,161.9215,297.5375
2020-06-24T14:00:00Z,42.42435,3.46904,339.743,69.75005,87.1288,298.326
2020-06-24T15:00:00Z,41.6772,3.16012,348.181,68.1633,83.62815,298.6655
2020-06-24T16:00:00Z,43.25625,3.0314,353.0415,32.30305,58.3943,297.977
2020-06-24T17:00:00Z,43.8137,2.918385,352.842,30.14155,64.8798,297.977
2020-06-24T18:00:00Z,46.2276,2.439245,347.3205,-5.747645,47.51605,297.554
2020-06-24T19:00:00Z,47.2358,1.369355,348.947,-12.268315,15.865,297.724
2020-06-24T20:00:00Z,49.7752,0.9788,194.9097,-3.559188,2.966375,297.101
2020-06-24T21:00:00Z,54.74545,0.4850375,171.256,0.6371815,0.306741,295.5375
2020-06-24T22:00:00Z,66.5543,0.28218545,109.18755,-0.611335,1.471625,292.676
2020-06-24T23:00:00Z,79.80125,0.12016275,153.7205,-1.14058,-0.276611,289.8215
2020-06-25T00:00:00Z,83.7909,0.3390315,177.2105,-5.01982,-1.8009705,288.955
2020-06-25T01:00:00Z,87.294,0.2586995,156.65,-2.317715,-1.31846,288.1165
2020-06-25T02:00:00Z,91.2741,0.590876,215.1105,-5.9687515,-10.8366965,286.994
2020-06-25T03:00:00Z,93.2902,0.371649,312.649,-5.29777,-7.012605,287.05
2020-06-25T04:00:00Z,92.5856,1.9455,312.794,-16.45442,12.164,286.4835
2020-06-25T05:00:00Z,94.10065,1.795615,294.332,10.32846,39.07935,286.459
2020-06-25T06:00:00Z,86.58595,2.319805,304.949,50.0823,76.5607,288.447
2020-06-25T07:00:00Z,79.5634,2.92055,317.527,61.0693,65.1807,290.0195
2020-06-25T08:00:00Z,73.53825,2.8032,320.287,71.0009,85.68605,291.821
2020-06-25T09:00:00Z,71.7504,2.344965,338.0395,151.594,173.4905,292.441
2020-06-25T10:00:00Z,69.47045,3.034725,333.8145,103.11905,121.4565,293.637
2020-06-25T11:00:00Z,63.88375,3.144215,347.89,118.9125,120.7638,296.069
2020-06-25T12:00:00Z,63.3867,3.12393,353.426,200.4425,123.4765,296.5945
2020-06-25T13:00:00Z,63.1913,3.526945,21.027,207.621,82.21635,297.212
2020-06-25T14:00:00Z,59.28575,2.98382,182.935145,145.4275,114.6151,298.5275
2020-06-25T15:00:00Z,51.89335,3.365045,13.70555,117.7945,90.2788,299.819
2020-06-25T16:00:00Z,43.7196,3.109605,12.84985,45.7462,84.3871,300.728
2020-06-25T17:00:00Z,41.78205,3.4102,20.6865,10.397145,88.59145,301.0735
2020-06-25T18:00:00Z,41.28655,3.65703,40.2734,-27.73435,72.9013,300.569
2020-06-25T19:00:00Z,38.1766,2.580775,37.79685,-35.5546,32.61205,300.1715
2020-06-25T20:00:00Z,38.6557,1.51786,19.898,-6.86701,5.349355,299.104
2020-06-25T21:00:00Z,42.87905,0.552276,356.0495,-2.37717,3.20511,297.2775
2020-06-25T22:00:00Z,49.98935,0.4328405,17.55395,-10.562635,11.88685,294.7795
2020-06-25T23:00:00Z,58.4769,0.736226,35.15815,5.972179,-4.80188,292.4985
2020-06-26T00:00:00Z,66.8109,0.8535595,17.18625,7.47248,-2.69882,290.387
2020-06-26T01:00:00Z,71.73875,0.7213555,69.5044,3.56241,-2.45881,288.9195
2020-06-26T02:00:00Z,79.21825,0.562865,20.346265,5.243,-1.0131755,287.3735
2020-06-26T03:00:00Z,78.2784,0.7094435,45.72245,1.222249,1.3077795,287.424
2020-06-26T04:00:00Z,82.0963,0.832747,176.0076,2.80413,-4.0703,286.463
2020-06-26T05:00:00Z,86.0005,1.744375,28.5083,-3.86864,44.0974,285.826
2020-06-26T06:00:00Z,82.30485,2.74512,35.62425,40.6534,84.66545,287.5545
2020-06-26T07:00:00Z,71.89135,1.826155,40.37765,96.72615,138.754,291.3345
2020-06-26T08:00:00Z,58.99945,1.264097,33.87155,126.8965,160.7105,294.1625
2020-06-26T09:00:00Z,52.1556,1.86715,3.11413,162.088,153.6385,296.687
2020-06-26T10:00:00Z,46.3082,2.84893,180.21682,156.616,155.4885,298.549
2020-06-26T11:00:00Z,44.42945,3.278255,13.311135,202.5025,106.51285,299.5435
2020-06-26T12:00:00Z,43.2225,4.070845,40.05515,222.7545,130.94885,300.4015
2020-06-26T13:00:00Z,40.01365,4.580505,52.2487,297.2525,161.783,301.297
